Date,Month,ID,Stage ,measurement 1 (um),measurement 2 (um),measurement 3 (um),measurement 4 (um),measurement 5 (um),mean,std,Volume
4/29/20,April,1,LPN,0.29,0.252,0.264,0.26,0.282,0.27,0.014,0.010305995
4/29/20,April,1,LPN,0.273,0.223,0.228,0.262,0.242,0.246,0.019,0.007794781
4/29/20,April,1,LPN,0.287,0.24,0.276,0.302,0.278,0.277,0.02,0.011128533
4/29/20,April,1,LPN,0.257,0.203,0.261,0.221,0.236,0.236,0.022,0.006882316
4/29/20,April,1,LPN,0.263,0.203,0.255,0.226,0.277,0.245,0.027,0.007700109
4/29/20,April,2,LPN,0.247,0.293,0.266,0.26,0.268,0.267,0.015,0.009966264
4/29/20,April,2,LPN,0.21,0.231,0.261,0.212,0.225,0.228,0.018,0.006205877
4/29/20,April,2,LPN,0.271,0.263,0.256,0.293,0.274,0.271,0.012,0.01042093
4/29/20,April,2,LPN,0.299,0.233,0.274,0.26,0.251,0.263,0.022,0.009525019
4/29/20,April,2,LPN,0.253,0.257,0.253,0.255,0.255,0.255,0.001,0.008681988
4/29/20,April,3,EPN,0.301,0.234,0.255,0.25,0.298,0.268,0.027,0.010078665
4/29/20,April,3,EPN,0.283,0.227,0.253,0.245,0.268,0.255,0.019,0.008681988
4/29/20,April,3,EPN,0.274,0.243,0.267,0.258,0.277,0.264,0.012,0.009634083
4/29/20,April,3,EPN,0.26,0.22,0.243,0.251,0.272,0.249,0.017,0.008083448
4/29/20,April,3,EPN,0.23,0.233,0.247,0.24,0.249,0.24,0.007,0.007238229
4/29/20,April,5,LPN ,0.321,0.24,0.307,0.279,0.267,0.283,0.029,0.011867464
4/29/20,April,5,LPN ,0.32,0.321,0.285,0.214,0.284,0.285,0.039,0.012120854
4/29/20,April,5,LPN ,0.275,0.218,0.268,0.255,0.261,0.255,0.02,0.008681988
4/29/20,April,5,LPN ,0.308,0.307,0.312,0.275,0.257,0.292,0.022,0.013036085
4/29/20,April,5,LPN ,0.309,0.206,0.311,0.264,0.238,0.266,0.041,0.009854703
4/29/20,April,7,EPN,0.266,0.19,0.248,0.223,0.227,0.231,0.026,0.006454083
4/29/20,April,7,EPN,0.234,0.23,0.212,0.239,0.238,0.231,0.01,0.006454083
4/29/20,April,7,EPN,0.247,0.207,0.246,0.245,0.246,0.238,0.016,0.007058778
4/29/20,April,7,EPN,0.25,0.173,0.242,0.242,0.185,0.218,0.033,0.005424605
4/29/20,April,7,EPN,0.254,0.187,0.239,0.252,0.188,0.224,0.03,0.005884949
4/29/20,April,8,EPN,0.243,0.214,0.233,0.24,0.237,0.233,0.01,0.006623177
4/29/20,April,8,EPN,0.24,0.243,0.241,0.222,0.22,0.233,0.01,0.006623177
4/29/20,April,8,EPN,0.257,0.238,0.247,0.252,0.234,0.246,0.009,0.007794781
4/29/20,April,8,EPN,0.26,0.264,0.228,0.212,0.237,0.24,0.02,0.007238229
4/29/20,April,8,EPN,0.256,0.236,0.234,0.239,0.226,0.238,0.01,0.007058778
4/29/20,April,9,EPN,0.254,0.203,0.216,0.21,0.256,0.228,0.023,0.006205877
4/29/20,April,9,EPN,0.26,0.227,0.244,0.227,0.254,0.242,0.014,0.007420697
4/29/20,April,9,EPN,0.3,0.227,0.252,0.233,0.259,0.254,0.026,0.008580247
4/29/20,April,9,EPN,0.3,0.26,0.255,0.262,0.291,0.274,0.018,0.010770858
4/29/20,April,9,EPN,0.304,0.237,0.252,0.266,0.309,0.274,0.028,0.010770858
4/29/20,April,10,EPN,0.247,0.239,0.211,0.203,0.233,0.227,0.017,0.006124578
4/29/20,April,10,EPN,0.249,0.197,0.266,0.259,0.167,0.228,0.039,0.006205877
4/29/20,April,10,EPN,0.217,0.21,0.207,0.204,0.22,0.212,0.006,0.004988916
4/29/20,April,10,EPN,0.213,0.215,0.229,0.201,0.216,0.215,0.009,0.005203721
4/29/20,April,10,EPN,0.207,0.216,0.255,0.235,0.175,0.218,0.027,0.005424605
4/29/20,April,11,EPN,0.254,0.211,0.265,0.244,0.212,0.237,0.022,0.006970175
4/29/20,April,11,EPN,0.248,0.194,0.239,0.233,0.209,0.225,0.02,0.005964117
4/29/20,April,11,EPN,0.297,0.213,0.26,0.207,0.268,0.249,0.034,0.008083448
4/29/20,April,11,EPN,0.278,0.213,0.229,0.265,0.243,0.246,0.024,0.007794781
4/29/20,April,11,EPN,0.299,0.188,0.25,0.275,0.23,0.248,0.038,0.007986448
4/29/20,April,12,LPN,0.302,0.258,0.275,0.285,0.271,0.278,0.015,0.011249495
4/29/20,April,12,LPN,0.238,0.226,0.23,0.227,0.236,0.231,0.005,0.006454083
4/29/20,April,12,LPN,0.288,0.282,0.281,0.279,0.291,0.284,0.005,0.011993713
4/29/20,April,12,LPN,0.275,0.248,0.262,0.262,0.247,0.259,0.01,0.009096994
4/29/20,April,12,LPN,0.309,0.252,0.263,0.244,0.276,0.269,0.023,0.010191907
4/29/20,April,13,LPN,0.324,0.317,0.34,0.318,0.346,0.329,0.012,0.018646027
4/29/20,April,13,LPN,0.3,0.295,0.301,0.299,0.297,0.298,0.002,0.013856304
4/29/20,April,13,LPN,0.253,0.267,0.266,0.258,0.239,0.257,0.01,0.008887876
4/29/20,April,13,LPN,0.287,0.281,0.307,0.27,0.258,0.281,0.016,0.011617631
4/29/20,April,13,LPN,0.369,0.296,0.335,0.296,0.351,0.329,0.029,0.018646027
4/29/20,April,14,EPN,0.286,0.253,0.262,0.279,0.271,0.27,0.012,0.010305995
4/29/20,April,14,EPN,0.263,0.236,0.246,0.243,0.261,0.25,0.01,0.008181231
4/29/20,April,14,EPN,0.231,0.268,0.252,0.245,0.242,0.248,0.012,0.007986448
4/29/20,April,14,EPN,0.241,0.245,0.228,0.262,0.268,0.249,0.014,0.008083448
4/29/20,April,14,EPN,0.26,0.274,0.236,0.281,0.265,0.263,0.015,0.009525019
4/29/20,April,15,EPN,0.298,0.261,0.277,0.284,0.273,0.279,0.012,0.011371329
4/29/20,April,15,EPN,0.263,0.22,0.284,0.236,0.243,0.249,0.022,0.008083448
4/29/20,April,15,EPN,0.275,0.263,0.266,0.273,0.27,0.269,0.004,0.010191907
4/29/20,April,15,EPN,0.308,0.266,0.316,0.257,0.271,0.284,0.024,0.011993713
4/29/20,April,15,EPN,0.283,0.273,0.278,0.284,0.273,0.278,0.005,0.011249495
4/29/20,April,17,EPN,0.29,0.278,0.308,0.298,0.268,0.288,0.014,0.012507661
4/29/20,April,17,EPN,0.275,0.235,0.297,0.262,0.252,0.264,0.021,0.009634083
4/29/20,April,17,EPN,0.262,0.253,0.267,0.273,0.293,0.27,0.013,0.010305995
4/29/20,April,17,EPN,0.246,0.236,0.254,0.23,0.257,0.245,0.01,0.007700109
4/29/20,April,17,EPN,0.285,0.255,0.275,0.266,0.288,0.274,0.012,0.010770858
4/29/20,April,18,5EPN95LPN,0.291,0.253,0.257,0.282,0.295,0.276,0.017,0.011008442
4/29/20,April,18,5EPN95LPN,0.302,0.288,0.261,0.324,0.291,0.293,0.02,0.013170476
4/29/20,April,18,5EPN95LPN,0.32,0.282,0.288,0.321,0.305,0.303,0.016,0.014565537
4/29/20,April,18,5EPN95LPN,0.295,0.271,0.278,0.262,0.275,0.276,0.011,0.011008442
4/29/20,April,18,5EPN95LPN,0.312,0.295,0.278,0.289,0.323,0.299,0.016,0.013996266
4/29/20,April,19,EPN,0.257,0.228,0.251,0.253,0.251,0.248,0.01,0.007986448
4/29/20,April,19,EPN,0.29,0.251,0.294,0.204,0.286,0.265,0.034,0.009743977
4/29/20,April,19,EPN,0.293,0.27,0.294,0.293,0.281,0.286,0.009,0.01224889
4/29/20,April,19,EPN,0.33,0.265,0.293,0.326,0.321,0.307,0.025,0.015150039
4/29/20,April,19,EPN,0.253,0.301,0.313,0.269,0.311,0.289,0.024,0.012638402
8/25/20,August,1,LPN ,0.359,0.297,0.35,0.319,0.302,0.3254,0.025016794,0.018040612
8/25/20,August,1,LPN ,0.27,0.27,0.266,0.285,0.262,0.2706,0.007787169,0.010374854
8/25/20,August,1,LPN ,0.299,0.302,0.292,0.305,0.298,0.2992,0.004354308,0.014024371
8/25/20,August,1,LPN ,0.328,0.269,0.285,0.283,0.276,0.2882,0.02068236,0.012533736
8/25/20,August,1,LPN ,0.332,0.265,0.339,0.294,0.279,0.3018,0.029088829,0.014393166
8/25/20,August,2,LPN ,0.263,0.285,0.248,0.326,0.298,0.284,0.027195588,0.011993713
8/25/20,August,2,LPN ,0.267,0.275,0.233,0.291,0.257,0.2646,0.019324596,0.00969992
8/25/20,August,2,LPN ,0.267,0.292,0.262,0.303,0.272,0.2792,0.015663971,0.011395801
8/25/20,August,2,LPN ,0.249,0.321,0.25,0.312,0.29,0.2844,0.030229787,0.012044462
8/25/20,August,2,LPN ,0.245,0.299,0.232,0.319,0.315,0.282,0.036375816,0.011742105
8/25/20,August,3,LPN ,0.353,0.253,0.282,0.288,0.259,0.287,0.035558403,0.012377824
8/25/20,August,3,LPN ,0.309,0.252,0.278,0.261,0.241,0.2682,0.023726778,0.010101246
8/25/20,August,3,LPN ,0.297,0.255,0.285,0.266,0.255,0.2716,0.016776174,0.0104903
8/25/20,August,3,LPN ,0.334,0.218,0.274,0.244,0.227,0.2594,0.041902745,0.009139207
8/25/20,August,3,LPN ,0.313,0.23,0.273,0.243,0.224,0.2566,0.032879173,0.008846441
8/25/20,August,4,LPN ,0.296,0.208,0.254,0.245,0.277,0.256,0.029899833,0.00878453
8/25/20,August,4,LPN ,0.287,0.225,0.27,0.243,0.24,0.253,0.022351734,0.008479304
8/25/20,August,4,LPN ,0.321,0.215,0.283,0.281,0.233,0.2666,0.038018943,0.009921539
8/25/20,August,4,LPN ,0.271,0.2,0.233,0.227,0.201,0.2264,0.025981532,0.006076142
8/25/20,August,4,LPN ,0.308,0.242,0.262,0.263,0.237,0.2624,0.025064716,0.009459978
8/25/20,August,5,LPN ,0.259,0.284,0.267,0.273,0.292,0.275,0.011781341,0.010889218
8/25/20,August,5,LPN ,0.297,0.3,0.321,0.277,0.278,0.2946,0.016230835,0.013387419
8/25/20,August,5,LPN ,0.296,0.259,0.26,0.273,0.262,0.27,0.013928388,0.010305995
8/25/20,August,5,LPN ,0.258,0.237,0.282,0.24,0.23,0.2494,0.018736061,0.008122467
8/25/20,August,5,LPN ,0.196,0.287,0.275,0.264,0.279,0.2602,0.032944802,0.009224026
8/25/20,August,7,LPN,0.348,0.307,0.295,0.3,0.307,0.3114,0.018853116,0.015810822
8/25/20,August,7,LPN,0.344,0.255,0.275,0.316,0.268,0.2916,0.033206024,0.012982585
8/25/20,August,7,LPN,0.361,0.263,0.297,0.309,0.266,0.2992,0.035588762,0.014024371
8/25/20,August,7,LPN,0.32,0.26,0.244,0.306,0.274,0.2808,0.028301237,0.011592842
8/25/20,August,7,LPN,0.321,0.263,0.288,0.312,0.275,0.2918,0.02184857,0.013009317
8/25/20,August,8,LPN,0.295,0.252,0.263,0.263,0.239,0.2624,0.018542923,0.009459978
8/25/20,August,8,LPN,0.337,0.245,0.264,0.291,0.254,0.2782,0.033198795,0.011273792
8/25/20,August,8,LPN,0.329,0.232,0.279,0.256,0.241,0.2674,0.034667564,0.010011124
8/25/20,August,8,LPN,0.255,0.23,0.231,0.245,0.221,0.2364,0.012059851,0.006917371
8/25/20,August,8,LPN,0.282,0.237,0.255,0.259,0.238,0.2542,0.016460863,0.008600531
8/25/20,August,9,LPN,0.343,0.326,0.299,0.344,0.339,0.3302,0.016868906,0.018850802
8/25/20,August,9,LPN,0.306,0.282,0.302,0.29,0.278,0.2916,0.010910545,0.012982585
8/25/20,August,9,LPN,0.319,0.275,0.302,0.269,0.27,0.287,0.020029978,0.012377824
8/25/20,August,9,LPN,0.318,0.31,0.363,0.256,0.285,0.3064,0.035634814,0.015061385
8/25/20,August,9,LPN,0.322,0.277,0.314,0.286,0.279,0.2956,0.01870401,0.01352421
8/25/20,August,10,LPN,0.323,0.235,0.265,0.264,0.233,0.264,0.03250846,0.009634083
8/25/20,August,10,LPN,0.338,0.229,0.3,0.253,0.23,0.27,0.042647391,0.010305995
8/25/20,August,10,LPN,0.344,0.21,0.327,0.267,0.222,0.274,0.053959244,0.010770858
8/25/20,August,10,LPN,0.299,0.255,0.291,0.248,0.241,0.2668,0.023583045,0.009943885
8/25/20,August,10,LPN,0.319,0.232,0.311,0.244,0.232,0.2676,0.03903127,0.010033604
8/25/20,August,11,LPN,0.29,0.277,0.272,0.301,0.273,0.2826,0.011217843,0.011817214
8/25/20,August,11,LPN,0.27,0.261,0.237,0.274,0.25,0.2584,0.013514437,0.009033918
8/25/20,August,11,LPN,0.285,0.227,0.274,0.267,0.226,0.2558,0.024604065,0.008763957
8/25/20,August,11,LPN,0.267,0.247,0.231,0.276,0.241,0.2524,0.01665653,0.00841912
8/25/20,August,11,LPN,0.24,0.21,0.208,0.248,0.218,0.2248,0.01622837,0.005948227
8/25/20,August,12,5EPN95LPN,0.322,0.273,0.29,0.283,0.28,0.2896,0.017095029,0.012717282
8/25/20,August,12,5EPN95LPN,0.336,0.28,0.299,0.303,0.29,0.3016,0.018937793,0.01436457
8/25/20,August,12,5EPN95LPN,0.315,0.304,0.305,0.33,0.315,0.3138,0.009368031,0.016179215
8/25/20,August,12,5EPN95LPN,0.326,0.275,0.296,0.294,0.278,0.2938,0.018137254,0.013278652
8/25/20,August,12,5EPN95LPN,0.306,0.257,0.291,0.282,0.261,0.2794,0.018380424,0.011420308
8/25/20,August,13,LPN,0.284,0.304,0.305,0.286,0.293,0.2944,0.008777243,0.013360172
8/25/20,August,13,LPN,0.309,0.279,0.259,0.295,0.27,0.2824,0.017771888,0.011792142
8/25/20,August,13,LPN,0.318,0.309,0.289,0.304,0.314,0.3068,0.01006777,0.015120449
8/25/20,August,13,LPN,0.272,0.284,0.275,0.276,0.284,0.2782,0.004915282,0.011273792
8/25/20,August,13,LPN,0.295,0.292,0.297,0.284,0.284,0.2904,0.0054626,0.012822965
8/25/20,August,14,LPN,0.277,0.225,0.223,0.237,0.211,0.2346,0.022747308,0.00676056
8/25/20,August,14,LPN,0.309,0.27,0.274,0.274,0.265,0.2784,0.015653754,0.011298123
8/25/20,August,14,LPN,0.302,0.269,0.267,0.31,0.32,0.2936,0.021675793,0.013251553
8/25/20,August,14,LPN,0.287,0.27,0.265,0.253,0.268,0.2686,0.010928861,0.010146509
8/25/20,August,14,LPN,0.309,0.23,0.283,0.253,0.236,0.2622,0.02976844,0.009438363
8/25/20,August,15,LPN,0.297,0.223,0.262,0.241,0.216,0.2478,0.029308019,0.007967141
8/25/20,August,15,LPN,0.304,0.247,0.305,0.263,0.257,0.2752,0.024465486,0.010912994
8/25/20,August,15,LPN,0.269,0.222,0.255,0.237,0.221,0.2408,0.018744599,0.007310853
8/25/20,August,15,LPN,0.272,0.213,0.236,0.227,0.212,0.232,0.021918029,0.006538266
8/25/20,August,15,LPN,0.282,0.269,0.253,0.276,0.26,0.268,0.010488088,0.010078665
8/25/20,August,16,LPN ,0.277,0.262,0.26,0.275,0.282,0.2712,0.008657944,0.01044402
8/25/20,August,16,LPN ,0.237,0.241,0.208,0.233,0.234,0.2306,0.011637869,0.006420614
8/25/20,August,16,LPN ,0.307,0.312,0.307,0.302,0.319,0.3094,0.005748043,0.015508134
8/25/20,August,16,LPN ,0.256,0.262,0.265,0.263,0.249,0.259,0.005830952,0.009096994
8/25/20,August,16,LPN ,0.305,0.248,0.292,0.266,0.254,0.273,0.022,0.010653359
8/25/20,August,18,LPN,0.332,0.319,0.358,0.31,0.305,0.3248,0.01896734,0.017941002
8/25/20,August,18,LPN,0.315,0.302,0.292,0.334,0.306,0.3098,0.014176036,0.01556836
8/25/20,August,18,LPN,0.3,0.282,0.33,0.271,0.279,0.2924,0.021058015,0.013089731
8/25/20,August,18,LPN,0.267,0.295,0.31,0.273,0.288,0.2866,0.015422062,0.012326142
8/25/20,August,18,LPN,0.281,0.327,0.33,0.263,0.316,0.3034,0.026672833,0.014623299
8/25/20,August,19,LPN,0.232,0.309,0.288,0.28,0.313,0.2844,0.028986894,0.012044462
8/25/20,August,19,LPN,0.263,0.277,0.253,0.262,0.261,0.2632,0.007756288,0.009546766
8/25/20,August,19,LPN,0.22,0.27,0.247,0.235,0.262,0.2468,0.018037738,0.007871076
8/25/20,August,19,LPN,0.228,0.287,0.251,0.273,0.281,0.264,0.021743965,0.009634083
8/25/20,August,19,LPN,0.244,0.316,0.296,0.264,0.296,0.2832,0.025724696,0.011892643
8/25/20,August,20,LPN,0.282,0.201,0.243,0.22,0.204,0.23,0.029966648,0.006370626
8/25/20,August,20,LPN,0.289,0.233,0.248,0.257,0.234,0.2522,0.020468512,0.008399122
8/25/20,August,20,LPN,0.275,0.221,0.265,0.243,0.222,0.2452,0.021949032,0.007718982
8/25/20,August,20,LPN,0.299,0.221,0.262,0.241,0.293,0.2632,0.029815432,0.009546766
8/25/20,August,20,LPN,0.277,0.233,0.286,0.268,0.243,0.2614,0.020185143,0.009352234
12/19/20,December,8,5EPN90ECA5LCA,0.422,0.436,0.418,0.437,0.429,0.4284,0.007499333,0.04116679
12/19/20,December,8,5EPN90ECA5LCA,0.451,0.384,0.441,0.395,0.46,0.4262,0.030759714,0.04053582
12/19/20,December,8,5EPN90ECA5LCA,0.512,0.419,0.415,0.45,0.477,0.4546,0.036477939,0.049191143
12/19/20,December,8,5EPN90ECA5LCA,0.402,0.382,0.397,0.402,0.392,0.395,0.007483315,0.032269327
12/19/20,December,8,5EPN90ECA5LCA,0.436,0.325,0.411,0.333,0.41,0.383,0.045135352,0.029416767
12/19/20,December,10,5LPN95ECA,0.459,0.509,0.476,0.506,0.462,0.4824,0.021303521,0.058778774
12/19/20,December,10,5LPN95ECA,0.467,0.442,0.485,0.457,0.46,0.4622,0.014019986,0.05169975
12/19/20,December,10,5LPN95ECA,0.461,0.444,0.484,0.448,0.45,0.4574,0.014444376,0.050105696
12/19/20,December,10,5LPN95ECA,0.558,0.428,0.477,0.463,0.541,0.4934,0.048804098,0.062892094
12/19/20,December,10,5LPN95ECA,0.531,0.449,0.546,0.442,0.549,0.5034,0.04771834,0.066794124
12/19/20,December,12,5LPN90ECA5LCA,0.476,0.412,0.402,0.461,0.488,0.4478,0.034539253,0.047016564
12/19/20,December,12,5LPN90ECA5LCA,0.489,0.466,0.457,0.481,0.475,0.4736,0.0112,0.055620348
12/19/20,December,12,5LPN90ECA5LCA,0.391,0.392,0.37,0.393,0.339,0.377,0.020832667,0.028055801
12/19/20,December,12,5LPN90ECA5LCA,0.521,0.377,0.421,0.391,0.536,0.4492,0.066460214,0.047458922
12/19/20,December,12,5LPN90ECA5LCA,0.49,0.446,0.497,0.426,0.457,0.4632,0.026753691,0.052036044
12/19/20,December,16,5LPN90ECA5LCA,0.543,0.417,0.459,0.445,0.514,0.4756,0.046180515,0.056327978
12/19/20,December,16,5LPN90ECA5LCA,0.543,0.392,0.422,0.422,0.5,0.4558,0.056414183,0.04958172
12/19/20,December,16,5LPN90ECA5LCA,0.348,0.337,0.326,0.342,0.351,0.3408,0.008840814,0.020725136
12/19/20,December,16,5LPN90ECA5LCA,0.504,0.379,0.461,0.394,0.494,0.4464,0.051157013,0.046576964
12/19/20,December,16,5LPN90ECA5LCA,0.506,0.345,0.408,0.382,0.493,0.4268,0.062780252,0.040707258
2/15/21,February,1,ECA,0.468,0.409,0.461,0.435,0.488,0.4522,0.027461974,0.048416155
2/15/21,February,1,ECA,0.508,0.456,0.479,0.435,0.47,0.4696,0.024270146,0.054222918
2/15/21,February,1,ECA,0.389,0.407,0.419,0.378,0.408,0.4002,0.014688771,0.033560612
2/15/21,February,1,ECA,0.499,0.513,0.502,0.485,0.484,0.4966,0.010928861,0.064123729
2/15/21,February,1,ECA,0.478,0.419,0.51,0.409,0.506,0.4644,0.042720487,0.052441518
2/15/21,February,3,5LPN95ECA,0.526,0.402,0.405,0.441,0.531,0.461,0.056819011,0.051298114
2/15/21,February,3,5LPN95ECA,0.466,0.404,0.378,0.448,0.46,0.4312,0.034330162,0.04197927
2/15/21,February,3,5LPN95ECA,0.389,0.352,0.373,0.304,0.395,0.3626,0.032867005,0.024962152
2/15/21,February,3,5LPN95ECA,0.486,0.427,0.398,0.492,0.483,0.4572,0.037743344,0.050039998
2/15/21,February,3,5LPN95ECA,0.467,0.422,0.386,0.487,0.469,0.4462,0.036950778,0.046514389
2/15/21,February,19,5ECA95LCA,0.589,0.583,0.656,0.547,0.583,0.5916,0.035471679,0.108413438
2/15/21,February,19,5ECA95LCA,0.496,0.476,0.546,0.457,0.459,0.4868,0.032762173,0.060401863
2/15/21,February,19,5ECA95LCA,0.536,0.526,0.59,0.463,0.57,0.537,0.043579812,0.081081445
2/15/21,February,19,5ECA95LCA,0.498,0.476,0.53,0.448,0.527,0.4958,0.031063805,0.063814326
2/15/21,February,19,5ECA95LCA,0.466,0.462,0.457,0.405,0.46,0.45,0.022689204,0.047712938